|1: English|2: French|3. German|4. Spanish|5. Italian
CHAR_WISDOM|Как ребенок с выдающимися способностями из ничем не примечательной семьи, ваши родители продали вас проходящему ученому. Ваша юность прошла в переписывании томов, пока ваши руки не кровоточили; но то, что вы читали, вы не забывали.||||
CHAR_PERSONA_T|Дворянин||||
CHAR_PERSONA|Ребенок благородного происхождения, вы обедали с иностранными дипломатами, прежде чем научились ходить. Вы изучили манеры и этикет, но больше всего — упорство, ведь сверкающие залы Риовы могут быть более кровавыми, чем самые темные переулки.||||
CHAR_MIGHT_DAM_T|Солдат||||
CHAR_MIGHT_DAM|Вы были призваны в армию Союза Вероотступников. Война Богов могла закончиться, но охота на культистов — нет. Вы путешествовали по окраинам Союза, сражаясь с оккультными повстанцами в кровавых стычках — и видели, как падают друзья и враги.||||
CHAR_MIGHT_PICK_T|Наемник||||
CHAR_MIGHT_PICK|Вы присоединились к банде наемников, продавая свои мечи тому, кто больше заплатит. Когда работы было мало, вы рыскали по руинам или разбитым небесным кораблям, чтобы свести концы с концами. Вскоре вы стали так же искусны с отмычками, как и с клинком.||||
CHAR_MIGHT_LORE_T|Инквизитор||||
CHAR_MIGHT_LORE|Вас нашли в Инквизиции, где вас обучили как агента. В охоте на поклонников богов вас учили их ложным историям, их неправдам. Вы научились вынюхивать их логова и расшифровывать их скрытые секреты.||||
CHAR_MIGHT_CHARM_T|Убийца||||
CHAR_MIGHT_CHARM|Фронтовые бои всегда были такими... вульгарными. Вы оттачивали свои навыки в тайне, чокаясь бокалами с могущественными людьми в элегантных бальных залах. Когда ваши работодатели шептали вам имя, вы убивали с изяществом.||||
CHAR_MIGHT_DEF_T|Травмированный||||
CHAR_MIGHT_DEF|Годы убийств сказались на вас. Вы спали чутко, с ножом под подушкой, если вообще спали. Шумы делали вас нервным; в темных местах вы видели людей, которых убили. Однажды вы сорвались и убили человека средь бела дня, на виду у всех.||||
CHAR_MIGHT_AGI_T|Дезертир||||
CHAR_MIGHT_AGI|Вам надоела кровопролитие, но вы не видели выхода. Поэтому вы дезертировали. Ваши старые товарищи преследовали вас, по островам и небесным кораблям, пока вы не могли больше бежать.||||
CHAR_MIGHT_CAST_T|Роковое заклинание||||
CHAR_MIGHT_CAST|Чтобы преуспеть в бою, вы изучали не только клинок, но и тайный язык космоса. Вы писали заклинания собственного изобретения — опасные и незаконные без обучения. Но заклинание дало осечку, убив не того человека и предопределив вашу судьбу.||||
CHAR_MIGHT_BARTER_T|Торговец оружием||||
CHAR_MIGHT_BARTER|Ваши знания в оружии открыли новые возможности; вы стали торговцем оружием, торгуя смертоносными предметами. Однако такие занятия столь же прибыльны, сколь и незаконны — и ваша удача не длилась вечно. ||||
CHAR_GUILE_DAM_T|Наемная сила||||
CHAR_GUILE_DAM|Вы могли постоять за себя, и это было известно. Картель Слева нанял вас как силу; когда они перевозили зловещие тексты или запрещенные зелья, вы были там, чтобы убедиться, что все идет гладко. А когда не шло, вы крушили черепа.||||
CHAR_GUILE_PICK_T|Вор||||
CHAR_GUILE_PICK|Воровство давалось легко. Ваши отмычки танцевали в замках с любовным прикосновением. Вы крали заклинания у ученых и сокровища с небесных кораблей. Город был вашим, его двери широко открыты.||||
CHAR_GUILE_LORE_T|Брокер знаний||||
CHAR_GUILE_LORE|В Союзе Вероотступников некоторые секреты стоят больше, чем золото. Вы общались с культистами, торговали запрещенными томами и искали опасные знания. Если что-то было скрыто, вы могли найти это... за цену.||||
CHAR_GUILE_CHARM_T|Посредник||||
CHAR_GUILE_CHARM|В кровавом бизнесе вы держали руки в чистоте. В тавернах и на рынках вы строили свою сеть; общаясь и интригуя. В других местах совершались злодеяния, и вы, конечно, никогда не были вовлечены. Но ваш кошелек никогда не был пуст.||||
CHAR_GUILE_DEF_T|Преданный||||
CHAR_GUILE_DEF|В вашем бизнесе вы всегда были начеку — но иногда этого недостаточно. В конце концов, вас предали и оставили умирать в луже собственной крови.||||
CHAR_GUILE_AGI_T|Параноик||||
CHAR_GUILE_AGI|С годами ваша паранойя росла. Вы всегда были в движении; вы никогда не спали в одной кровати дважды. Оказалось, вы были правы — за вами действительно охотились. И они нашли вас.||||
CHAR_GUILE_CAST_T|Изгой-заклинатель||||
CHAR_GUILE_CAST|Вы копили заклинания и зелья; многие ценные, многие полезные. Но слишком много. Когда вы искали заклинание невидимости, вы случайно открыли портал на корабль Инквизиции — худшее место назначения.||||
CHAR_GUILE_BARTER_T|Криминальный лорд||||
CHAR_GUILE_BARTER|У вас всегда был талант к приобретению незаконно нажитых товаров; но в конце концов это превратилось в подпольную империю торговли. С успехом пришла известность, и жестокий рейд Инквизиции посадил вас за решетку.||||
CHAR_WISDOM_DAM_T|Искатель приключений||||
CHAR_WISDOM_DAM|При первой же возможности вы отправились в путь. Вы путешествовали по небесным землям, прячась на кораблях и спя под звездами. Вы многое узнали о мире, но также научились защищаться, ведь открытая дорога не для слабых духом.||||
CHAR_WISDOM_PICK_T|Эфирист||||
CHAR_WISDOM_PICK|Вы оказались искусны с механизмами, поэтому Гильдия Эфиристов взяла вас в ученики. Вы изучили герметическую магию, чтобы запечатать корабль, чтобы он мог коснуться космоса — но также и простую логику замков и ловушек.||||
CHAR_WISDOM_LORE_T|Ученый||||
CHAR_WISDOM_LORE|Поступив в престижный университет Бьонна, вы узнали о древних богах, мертвых городах и языке вселенной. Но больше всего вы научились видеть за очевидным; находить скрытые истины всех вещей.||||
CHAR_WISDOM_CHARM_T|Советник||||
CHAR_WISDOM_CHARM|Ваши трактаты и полемики показали перспективу; вы получили место в совете в Риове, политическом сердце Союза Вероотступников. Вскоре вы бросали мнения в оглушительные дебаты.||||
CHAR_WISDOM_DEF_T|Разоритель храмов||||
CHAR_WISDOM_DEF|Узнав о мощном артефакте в древнем храме, вы отправились за ним. Вы тренировались защищаться от ловушек и монстров; но не от Инквизиции — которая запрещает разграбление таких мест.||||
CHAR_WISDOM_AGI_T|Охотник||||
CHAR_WISDOM_AGI|В своих исследованиях вы узнали о запретном слове. Слове, которое шептали только в темноте; которое открывало невидимые двери. Прежде чем вы это осознали, за вами охотилась теневая организация, и вы были вынуждены бежать за свою жизнь.||||
CHAR_WISDOM_CAST_T|Амбициозный заклинатель||||
CHAR_WISDOM_CAST|Вы всегда были искусны в заклинаниях, но в конце концов это стало навязчивой идеей. Вы написали заклинание такой сложной шифрованной логики, что, когда оно было произнесено, оно разорвало завесу реальности — сделав вас преступником в одночасье.||||
CHAR_WISDOM_BARTER_T|Книготорговец||||
CHAR_WISDOM_BARTER|Вы открыли книжный магазин в Риове; сокровищницу знаний, которую посещали самые ученые люди Союза Вероотступников. Но когда стало известно, что у вас есть запрещенные тексты, Инквизиция не пощадила вас.||||
CHAR_PERSONA_DAM_T|Боевой советник||||
CHAR_PERSONA_DAM|К огорчению вашей семьи, вы искали базового азарта битвы. Вы записались в пехотные советники, оттачивая навыки как фехтования, так и дебатов; ведь в Союзе Вероотступников выборы решаются и тем, и другим.||||
CHAR_PERSONA_PICK_T|Дворянин-вор||||
CHAR_PERSONA_PICK|Хотя ваша семья сохраняла видимость, их казна была пуста. Вы приняли сомнительную мораль; воруя с обедов и балов, на которые вас приглашали. Сначала это были просто случайные кубки, но вы совершали все более дерзкие ограбления.||||
CHAR_PERSONA_LORE_T|Оккультист||||
CHAR_PERSONA_LORE|Пока другие посещали вечеринки, ваша голова была погружена в пыльные тома. Вы собрали огромную библиотеку, посещая книжные магазины и лекции. Но люди шептались, что ваши вкусы были неприятны; что вы искали запрещенные тексты и оккультные гримуары...||||
CHAR_PERSONA_CHARM_T|Светский человек||||
CHAR_PERSONA_CHARM|Вы избегали уважаемых профессий, выбирая вместо этого жизнь светского человека. Вы посещали вечеринки в Вене, Бьонне и Лунделе, где текли вино и сплетни. Деньги вашей семьи покупали вам многое, но блеск вашей улыбки покупал вам больше. ||||
CHAR_PERSONA_DEF_T|Фальсификатор выборов||||
CHAR_PERSONA_DEF|Вы готовились к одному из самых важных выборов в Союзе Вероотступников. Такие события кровавы и жестоки, но в конце концов ваш боевой совет был признан виновным в фальсификации; что привело вас в тюремную камеру.||||
CHAR_PERSONA_AGI_T|Опальная семья||||
CHAR_PERSONA_AGI|Быть членом знатной семьи может принести жизнь привилегий, но когда такая семья падает — она может пасть сильно. Вашу семью преследовали и убивали за их преступления, и только вам удалось сбежать.||||
CHAR_PERSONA_CAST_T|Искусный заклинатель||||
CHAR_PERSONA_CAST|Заклинания всегда были благоприятным занятием; вы развлекали и впечатляли многих. Но вы нарушили закон, когда случайно заставили одежду целого города исчезнуть, оставив его жителей голыми.||||
CHAR_PERSONA_BARTER_T|Торговец||||
CHAR_PERSONA_BARTER|Искусный в торговле, вы создали сеть магазинов — и даже купили собственный торговый корабль. Но когда в вашем складе нашли артефакты поклонения богам, Инквизиция задержала вас.||||
CHEAT_MODE|Чит-код активирован!||||
CHEAT_OFF|Чит-код деактивирован.||||
ALTS_ON|Альтернативный режим начала включен.||||
ALTS_OFF|Альтернативный режим начала выключен.||||
DEBUG_ON|Режим отладки активирован!||||
DEBUG_OFF|Режим отладки деактивирован.||||
CHEAT_GRAVITY|Гравитация отключена. Используйте Numpad 8 и 2 для полета.||||
CHEAT_GRAVITY_OFF|Гравитация включена.||||
CHEAT_SAVE|Игра сохранена.||||
CHEAT_GOD|Режим бога включен — бесконечное здоровье и мана, враги не атакуют.||||
CHEAT_GOD_OFF|Режим бога выключен.||||
CHEAT_ITEMS|Теперь у вас куча предметов. НАСЛАЖДАЙТЕСЬ||||
CHEAT_RESET_ACHIEVEMENTS|ДОСТИЖЕНИЯ STEAM СБРОШЕНЫ!||||
NPC_NONE|???||||
NPC_EMBERIAN|Эмберианец||||
NPC_ORLAITH|Орлайт||||
NPC_BASALT|Джек Базальт||||
NPC_CHIASMA|Хиазма||||
NPC_THAW|Кающийся Тхав||||
NPC_QUEEN|Королева Серебра||||
NPC_SENESCHAL|Сенешаль||||
NPC_FANGDOOR|Зубастая Дверь||||
NPC_WYRM|Криптовый Червь||||
NPC_ENTOMBED|Погребенный||||
NPC_FLESH|Путь Всякой Плоти||||
NPC_MAGGOTSON|Мэгготсон||||
NPC_RHYDDER|Лорд Риддер||||
NPC_BARKEEP|Бармен||||
NPC_RUSTY|Старый Гниль||||
NPC_HAGGLES|Торгаш||||
NPC_CHAFFER|Чаффер||||
NPC_GHOST|Призрак||||
NPC_MYGHAR|Мигар||||
NPC_SCHOLAR|Ученый Академии||||
NPC_STUDENT|Студент-недоучка||||
NPC_YOUSSEF|Юсеф||||
NPC_AGENT|Агент Инквизиции||||
NPC_CARTOGRAPHER|Джованни, Главный Картограф||||
NPC_AETHERIST|Жером, Главный Эфирист||||
NPC_ALCHEMIST|Дон, Главный Алхимик||||
NPC_ENGINEER|Наталья, Главный Инженер||||
NPC_HISTORIAN|Глем, Главный Историк||||
NPC_POLYMATH|Полимат Союза||||
NPC_USABLES|Алхимик Хэллоу||||
NPC_CLERK|Секретарь Совета||||
NPC_TAILOR|Портной Хэллоу||||
NPC_ODDITIES|Владелец Лавки Диковинок||||
NPC_WEAPONS|Оружейник||||
NPC_CARETAKER|Смотритель||||
NPC_VIERME|Виерма||||
NPC_EZRA|Эзра Торнвуд||||
NPC_BERWIG|Вернон Бервиг||||
NPC_MINE_NOBLE|Лорд Ромулус Шаирон VII||||
NPC_MINE_SCULPTOR|Люсия, Святая Скульптор||||
NPC_FLESH_BROKER|Брокер Плоти||||
NPC_DUCHESS|Герцогиня||||
NPC_DAUGHTER_HAND|Рука Эллин||||
NPC_GROUNDSKEEP|Смотритель||||
NPC_CADAVER_GATEKEEP|Привратник||||
NPC_CADAVER_GUARD|Страж Кадавров||||
NPC_CWK_SAM|Сэм||||
NPC_CWK_HORACE|Гораций||||
NPC_CWK_FROST|Какстон Фрост||||
NPC_CWK_VIDAL|Видаль, Торговец Видениями||||
NPC_CWK_MIKHAIL|Михаил||||
NPC_CWK_HUANG|Директор Хуанг||||
NPC_CWK_QUARSHIE|Кварши||||
NPC_CWK_JACZEMIR|Яцемир||||
NPC_CWK_LASCAUX|Мадам Ласко||||
NPC_CWK_XENIA|Баба Ксения||||
NPC_CWK_MAC|Темный Мак||||
NPC_CWK_KING|Его Величество, Король||||
NPC_CWK_SUNIL|Сунил, Оратор Короля||||
NPC_CWK_APHRA|Афра, Главный Переводчик||||
NPC_CWK_MOROZOV|Морозов||||
NPC_CWK_REZA|Реза, Саботажник||||
NPC_CWK_OLEG|Олег Игоревич||||
NPC_CWK_PRIPP|Доктор Припп||||
NPC_CWK_YASMEEN|Ясмин||||
NPC_CWK_NADJA|Надя||||
NPC_LLUDD|Ллудд||||
NPC_CULWYCH|Кулвич||||
NPC_OLWEN|Мэр Олвен||||
NPC_DWYNN|Двинн||||
NPC_NUDD|Нудд||||
NPC_ONION|Страж Гнилой Луковицы||||
NPC_ONION_LEADER|Джон Бёрдбарк||||
NPC_EMYR|Эмир||||
NPC_GHUTRID|Гутрид||||
NPC_EM_INQ|Раненый Инквизитор||||
NPC_VELA|Вела Каллос||||
DEMO_START_TITLE|Начало||||
DEMO_START|Мир разрушен. Его поверхность проклята, непригодна для жизни. Те, кто остался, цепляются за острова в небе. Каким-то образом вы это знаете. ##Вы просыпаетесь, ошеломленный и сбитый с толку.||||
DEMO_END_TITLE|Странная пульсация||||
DEMO_END|Странная пульсация внутри вас. Затем еще одна. Вы чувствуете тошноту; ваши ноги слабы. ##Внезапно — громкий хлопок и резкая боль. Вы смотрите вниз; в вашей груди кровавая дыра. ##Похоже, ваше сердце взорвалось. ||||
TUT_EQUIP_TITLE|Экипировка предметов||||
TUT_EQUIP|Чтобы экипировать предметы, откройте Журнал и перейдите в окно Экипировки.##Используйте вкладку Снаряжения, чтобы экипировать оружие, броню и аксессуары.##Другие две вкладки позволяют экипировать заклинания и быстрые предметы.||||
TUT_USABLES_TITLE|Используемые предметы и заклинания||||
TUT_USABLES|Заклинания и быстрые предметы должны быть экипированы в меню Экипировки перед использованием.##После экипировки нажмите Заклинание, чтобы использовать заклинания, и Предмет, чтобы использовать предметы.##Вы можете прокручивать экипированные предметы с помощью Сменить Предмет или заклинания с помощью Сменить Заклинание.||||
TUT_ATTRIBUTES_TITLE|Атрибуты Заблуждений||||
TUT_ATTRIBUTES|Есть четыре атрибута Заблуждений — основные атрибуты, которые управляют вашими навыками: Мощь, Мудрость, Хитрость и Личность. ##Чтобы увеличить эти атрибуты, вы должны найти достаточно Мерцаний Заблуждения, исследуя мир или выполняя квесты.||||
TUT_SKILLS_TITLE|Навыки||||
TUT_SKILLS|Есть несколько навыков, которые определяют вашу эффективность в определенных задачах.##Некоторые из них активные навыки, такие как Взлом или Знание, которые позволяют вам взаимодействовать с объектами в мире.##Другие — пассивные навыки, такие как Защита и Регенерация. ##Навыки можно улучшить, увеличивая атрибут Заблуждения, который ими управляет, или с помощью специального снаряжения.||||
TUT_LOCKPICK_TITLE|Навык Взлома||||
TUT_LOCKPICK|Некоторые двери можно открыть с помощью отмычки.##Ваш шанс успеха зависит от вашего навыка Взлома — который управляется вашей Хитростью.##Если попытка провалится, одна из ваших отмычек сломается.||||
TUT_LORE_TITLE|Навык Знания||||
TUT_LORE|Некоторые двери можно открыть через скрытые механизмы. Эти секретные переключатели требуют достаточно высокого навыка Знания и небольшого количества маны для разблокировки.##Навык Знания управляется вашей Мудростью. Вы можете дополнительно увеличить его с помощью специального снаряжения.||||
TUT_CHARM_TITLE|Навык Обаяния ||||
TUT_CHARM|Некоторые персонажи будут утаивать от вас информацию. Вы должны убедить их говорить свободно.##Ваш успех определяется вашим навыком Обаяния.##Обаяние управляется вашим атрибутом Личности. Вы можете дополнительно увеличить его с помощью специального снаряжения.||||
TUT_COMBAT_TITLE|Бой ||||
TUT_COMBAT|С разоруженным оружием нажмите [[Атака]], чтобы выполнить обычную атаку.##Удерживайте её для более медленной, но мощной атаки.||||
TUT_STEALTH_TITLE|Скрытность ||||
TUT_STEALTH|Во многих случаях боя можно избежать. Нажмите [[Присесть]], чтобы переключиться в режим скрытности; ваши шаги не будут издавать звуков. ##Кроме того, вы можете подкрасться к врагу сзади, чтобы выполнить скрытную атаку. Урон по неосведомленным врагам будет умножен.||||
TUT_STAMINA_TITLE|Выносливость||||
TUT_STAMINA|Ваш урон от атаки зависит от вашей текущей Выносливости — чем ниже ваша выносливость, тем меньше урона вы нанесете. ##Ваша максимальная выносливость также будет медленно уменьшаться со временем. Если она достигнет половины своего исходного значения, вы станете Уставшим; временно снижая все характеристики. ##Максимальная Выносливость может быть восстановлена сном в кровати или использованием зелья выносливости.||||
TUT_BLOCKING_TITLE|Блокирование и Парирование||||
TUT_BLOCKING|Удерживайте [[Блок]], чтобы уменьшить получаемый урон от врагов.##Если вы успеете заблокировать в момент атаки врага, вы выполните Парирование. Успешные парирования полностью блокируют урон и оглушают врага. ##Блокирование и Парирование невозможны, когда ваша выносливость на нуле.||||
TUT_CRAFTING_TITLE|Крафтинг ||||
TUT_CRAFTING|Станции крафтинга позволят вам модифицировать вашу экипировку.##Руда может улучшить оружие и броню. Нить может улучшить одежду.##Ищите редкие материалы для крафта в мире, чтобы создавать еще лучшее снаряжение.||||
TUT_ALCHEMY_TITLE|Алхимия||||
TUT_ALCHEMY|Алхимические станции позволят вам варить используемые предметы, комбинируя два ингредиента.##Травы можно найти по всему миру и комбинировать для создания зелий##Многие различные предметы могут быть объединены для уникальных результатов.||||
TUT_CRYSTALS_TITLE|Кристальные точки||||
TUT_CRYSTALS|Кристальные точки восстановят вашу Маны. ##Используйте заклинание Домой, чтобы вернуться к последней посещенной Кристальной точке. Вы также появитесь у последней использованной Кристальной точки при загрузке игры. ||||
TUT_THIEF_TITLE|Демо-класс - Вор||||
TUT_THIEF|Снаряжение мелкого вора. ##Этот [[Демо-класс]] ловок, с некоторыми навыками [[Взлома]]. Вы начнете с кинжалом и базовой кожаной броней. ##((Классы доступны только в этой демо-версии. В полной игре вы будете создавать своего персонажа по ходу игры.))||||
TUT_MERC_TITLE|Демо-класс - Наемник||||
TUT_MERC|Снаряжение опытного воина. ##Этот [[Демо-класс]] имеет сильные боевые навыки и начинается с прочной брони, но вам будет не хватать более специализированных навыков других классов.  ##((Классы доступны только в этой демо-версии. В полной игре вы будете создавать своего персонажа по ходу игры.))||||
TUT_CASTER_TITLE|Демо-класс - Шифровальщик||||
TUT_CASTER|Снаряжение заклинателя. ##Этот [[Демо-класс]] имеет набор заклинаний и приличный навык [[Знания]], хотя у него нет хорошего наступательного оружия. ##((Классы доступны только в этой демо-версии. В полной игре вы будете создавать своего персонажа по ходу игры.))||||
TUT_NOBLE_TITLE|Демо-класс - Дворянин||||
TUT_NOBLE|Снаряжение уверенного дворянина. ##Этот [[Демо-класс]] искусен в диалоговых испытаниях, с высокими навыками [[Обаяния]] и [[Торга]]. ##((Классы доступны только в этой демо-версии. В полной игре вы будете создавать своего персонажа по ходу игры.))||||
TUT_STATUS_TITLE|Состояние||||
TUT_STATUS|Ваше текущее состояние представлено тремя характеристиками; Здоровье, Мана и Выносливость.##Чтобы восстановить состояние, отдохните в кровати или выпейте зелье.||||
TUT_DEATH_TITLE|Смерть||||
TUT_DEATH|Мощное существо заинтересовалось вами. ##По их милости, вас вырвут из пасти смерти и перенесут в [[Святилище Смерти]], без потери предметов или прогресса.||||
TUT_REGIONS_TITLE|Регионы||||
TUT_REGIONS|Союз Вероотступников установил множество контрольных мостов по всей земле. ##Чтобы перейти в другой регион, вам потребуется [[Паспорт Союза]] — один на каждый контрольный пункт.||||
TUT_SAVING_TITLE|Автосохранение||||
TUT_SAVING|Игра сохраняет ваш прогресс через регулярные интервалы, например, при переходе между регионами, использовании Кристальной точки или выходе из игры.||||
TUT_DELUSIONS_TITLE|Заблуждения||||
TUT_DELUSIONS|Мерцания Заблуждения можно получить, собирая синие черепа или выполняя квесты. ##Соберите достаточно Мерцаний, чтобы получить Очко Заблуждения, которое можно использовать для улучшения ваших Атрибутов.##Откройте Журнал и перейдите в окно Персонажа, чтобы потратить Заблуждения.||||
TUT_DAY_TITLE|Время суток||||
TUT_DAY|По мере движения великой нейронной звезды по небу день проходит через рассвет, полдень, закат и ночь.##Некоторые области меняются в разное время суток. ##Чтобы продвинуть время, отдохните в кровати.||||
TUT_BEDS_TITLE|Кровати||||
TUT_BEDS|Отдых в кроватях восстанавливает ваше здоровье, ману и максимальную выносливость. ##Кровати можно дешево арендовать в тавернах.##Вы также можете найти незанятые кровати по всему миру. Однако некоторые из них небезопасны, и вы рискуете, отдыхая в них. ||||
TUT_PLAYERHOUSE_TITLE|Жилье игрока||||
TUT_PLAYERHOUSE|Откройте сундук, чтобы получить Документ на Поместье, затем используйте маленькую деревянную модель дома, чтобы улучшить ваше поместье. Некоторые улучшения требуют, чтобы вы отдохнули в кровати; одна находится за вами. ||||
TUT_PLAYERHOUSELEAVE_TITLE|Жилье игрока||||
TUT_PLAYERHOUSELEAVE|Вы не можете покинуть этот остров в этой демо-версии.||||
TUT_AIRSHIP_TITLE|Ваш воздушный корабль||||
TUT_AIRSHIP|Теперь, обладая воздушным кораблём, вы настоящий небесный капитан. ##Вы можете в любой момент произнести заклинание [[Экстренное возвращение на воздушное судно]], чтобы вернуться на свой корабль. Сделайте это, если вы оказались вдали от корабля. ##Вы можете высадиться откуда угодно, но часто мудрее всего делать это на [[Воздушных доках]], где можно взаимодействовать с [[Воздушными станциями]] для улучшения и модификации вашего корабля. Чтобы приобрести новые улучшения, посещайте разных членов [[Гильдии воздушных кораблей]], которых часто можно найти на Доках. ##Если вы высаживаетесь во время полёта над твёрдой землёй, ваш корабль [[бросит якорь]]. Взаимодействуйте с якорем, чтобы [[спуститься]] или [[подняться]] безотлагательно. ##Вам также стоит проверить меню [[Управление]], чтобы ознакомиться с тем, как управляется воздушный корабль.||||
SIGN_ORLAITH_MAP|Странная карта...||||
SIGN_RUSTBURG_WELCOME_T|РАСТБУРГ, Торговый город.||||
SIGN_RUSTBURG_WELCOME|Здесь лежат останки величайших эмберианских руин на Островах Грёз. ##Мы торгуем металлом из подземелий и эмберианскими артефактами.||||
SIGN_RUSTBURG_WARNING_T|УВЕДОМЛЕНИЕ ДЛЯ ВСЕХ||||
SIGN_RUSTBURG_WANING|В этом году 1406, город Растбург официально покинут. По указу Вероотступников, никакие монеты не должны переходить из рук в руки здесь. ##Пусть это будет предупреждением всем, кто укрывает Викканов и их мерзких богов. ||||
SIGN_CADAVER_WELCOME_T|ЗЕМЛИ КАДАВРОВ||||
SIGN_CADAVER_WELCOME|Вы входите во владения Кадавров. ##Только те, кто верен нашему делу, будут допущены в Крепость Кадавров. ||||
SIGN_CADAVER_CRUSADE_T|КРЕСТОВЫЕ ПОХОДЫ КАДАВРОВ||||
SIGN_CADAVER_CRUSADE|Этот памятник стоит в память всех Вечных, потерявших свои жизни в Крестовых походах Кадавров. ##Все существа имеют право следовать своей природе, будь они хищниками или жертвами. Никто не должен стыдиться своих инстинктов. ||||
SIGN_ROAMING_ISLE_T|ВНИМАНИЕ: Дрейфующий остров!||||
SIGN_ROAMING_ISLE|Геологическое общество Союза Вероотступников классифицировало этот остров как Дрейфующий, так как он известен своим непостоянным движением. Другими словами, он может не быть здесь вечно...||||
SIGN_STOPBARRIER_T|Нельзя пройти||||
SIGN_STOPBARRIER|Владелец этого места не позволит вам пройти дальше.||||
DETAIL_GODWARMACHINE_T|Старые механизмы||||
DETAIL_GODWARMACHINE|Вы узнаете эти старые машины как реликвии Войны Богов; неработоспособные и в основном бесполезные. Такие странные механизмы редко можно увидеть за пределами Королевства Механизмов в наши дни. ||||
DETAIL_DARKSTARDESK_T|Захламленный стол||||
DETAIL_DARKSTARDESK|На столе разбросаны карты, заметки и диаграммы, детализирующие запланированные операции Темных Звезд. Один из них особенно привлекает ваше внимание; экспедиция в проклятые подземелья, далеко под небесными землями...||||
BUFF_HEALTH_TITLE|Бафф навыка Здоровья||||
BUFF_HEALTH|Ваше максимальное Здоровье временно увеличено. Вы буквально чувствуете шифрованную магию в своем сердцебиении.||||
BUFF_AGILITY_TITLE|Бафф навыка Ловкости||||
BUFF_AGILITY|Ваша Ловкость временно увеличена. Вы чувствуете себя легким как перо.||||
BUFF_REGEN_TITLE|Бафф навыка Регенерации||||
BUFF_REGEN|Ваша Регенерация временно увеличена. Вы будете восстанавливаться намного быстрее.||||
BUFF_SPELLCAST_TITLE|Бафф навыка Заклинаний||||
BUFF_SPELLCAST|Ваше Заклинание временно увеличено. Будьте осторожны, чтобы не опалить брови этими заклинаниями.||||
BUFF_ATTACK_TITLE|Бафф навыка Атаки||||
BUFF_ATTACK|Ваша Атака временно увеличена. Вы могли бы разрубить шлем пополам. Возможно.||||
BUFF_LOCKPICK_TITLE|Бафф навыка Взлома||||
BUFF_LOCKPICK|Ваш Взлом временно увеличен. Никакой замок не остановит вас.||||
BUFF_CHARM_TITLE|Бафф навыка Обаяния||||
BUFF_CHARM|Ваше Обаяние временно увеличено. Кто сможет устоять перед вами?||||
BUFF_BARTER_TITLE|Бафф навыка Торга||||
BUFF_BARTER|Ваш Торг временно увеличен. Вас не обманут в ближайшее время.||||
BUFF_LORE_TITLE|Бафф навыка Знания||||
BUFF_LORE|Ваше Знание временно увеличено. Внезапно все стало намного яснее.||||
BUFF_DEFENCE_TITLE|Бафф навыка Защиты||||
BUFF_DEFENCE|Ваша Защита временно увеличена. Вы чувствуете себя как замок. Довольно мясистый, мягкий замок. ||||
BUFF_MANA_TITLE|Бафф навыка Маны||||
BUFF_MANA|Ваша Мана временно увеличена. Ваш разум наполнен дополнительной силой.||||
BUFF_STAMINA_TITLE|Бафф навыка Выносливости||||
BUFF_STAMINA|Ваша Выносливость временно увеличена. Эти холмы больше не выбьют вас из сил.||||
BUFF_FATIGUE_TITLE|Усталость||||
BUFF_FATIGUE|Ваша выносливость низка, поэтому вы стали Уставшим — что снизило все ваши основные Атрибуты на 1. Чтобы восстановиться, отдохните в кровати или используйте зелье выносливости. ||||
BUFF_CURSE_TITLE|Проклятие||||
BUFF_CURSE|Вы стали Проклятым, снизив все ваши основные Атрибуты на 1. ||||
DEBUFF_POISON_TITLE|Отравление||||
DEBUFF_POISON|Вы отравлены! Вы будете получать урон со временем.||||
BUFF_LUCK_TITLE|Удача||||
BUFF_LUCK|Вам повезло. Все вдруг стало немного проще. Все ваши основные Атрибуты увеличены на 1.||||
BUFF_REGENBUFF_TITLE|Регенерация||||
BUFF_REGENBUFF|Ваша Регенерация временно увеличена. Вы будете восстанавливаться намного быстрее. ||||
BUFF_CASTBUFF_TITLE|Заклинание||||
BUFF_CASTBUFF|Ваше Заклинание временно увеличено. Будьте осторожны, чтобы не опалить брови этими заклинаниями.||||
BUFF_DEFBUFF_TITLE|Защита||||
BUFF_DEFBUFF|Ваша Защита временно увеличена. Вы чувствуете себя как замок. Довольно мясистый, мягкий замок. ||||
BUFF_REGENHEAL_TITLE|Регенерация Здоровья||||
BUFF_REGENHEAL|Заклинание постепенно восстанавливает ваше Здоровье. Шифрованная магия течет по вашим венам, придавая вашей коже бледно-голубой оттенок.||||
BUFF_POISONWPN_TITLE|Отравленное оружие||||
BUFF_POISONWPN|Вы покрыли свое оружие смертельным ядом. Враги, которых вы ударите, будут получать урон со временем.||||
BUFF_ALLYBUFF_TITLE|Союзный бафф||||
BUFF_ALLYBUFF|Вы получили бафф от союзника, увеличив свои характеристики.||||
BUFF_SPEED_TITLE|Зачарованная скорость||||
BUFF_SPEED|Заклинание значительно увеличивает вашу Ловкость. Будьте осторожны, чтобы не сбежать с края Небесных Земель...||||
BUFF_TRUTH_TITLE|Откровение истины||||
BUFF_TRUTH|Вы можете временно видеть истину вещей. Этот эффект раскрывает секреты, скрытые магией иллюзий. ||||
BUFF_FADE_TITLE|Заклинание Исчезновения||||
