NPC Name:|Endless||||
engi19|Ну, ты не первый, кто так думает. Я выросла в трущобах Слева, перебиваясь... не самыми честными способами. К шифр-технологиям у меня всегда был нюх, и к годам тринадцати я уже мастерила бомбы и ловушки для местной банды.||||
engi20|Ну так вот, однажды мы обчистили мага. Всё полетело к чертям, банда дала дёру, а маг сцапал меня. Швырнул в свою повозку — я готова была поклясться, что повезёт меня в Инквизицию, на виселицу...||||
engi21|...А он привёз меня сюда. Попривыкнуть удалось не сразу — влипала в передряги, пару раз чуть не выставили. Но они со мной возились, и теперь это мой дом.||||
p98|Что со всеми этими кристаллами?||||
engi22|Академия возится с кристаллами столько, сколько кто-либо помнит. Их технически называют эпохальными кристаллами - ты находишь их в земле. Они особенно полезны для телепортации, левитации - всего, что слишком мощно для обычного заклинания. ||||
p99|Так подожди, что именно ((такое)) эпохальные кристаллы?||||
engi23|Они веками формируются в земле. По сути, именно они и держат эти острова в воздухе — природные эпохальные кристаллы залегают глубоко в скале.||||
engi24|Они образуются там, где некогда жили большие людские сообщества — по крайней мере, такова теория. Считай их чем-то вроде общественного осадка. Все эти надежды, мечты, страхи, чувства — какой-то их след оседает в кристалле.||||
engi25|Словом, они могут служить проводником для шифрованной магии. Всё, что творится в уме чародея, когда он плетёт заклинание, эпохальный кристалл способен отразить стократно. Они усиливают магию.||||
p100|Что ты можешь рассказать мне о порталах? ||||
engi26|С порталами всё непросто; впрямую Союз их не запрещает, но Инквизиция следит за ними в оба. Сам посуди — открой портал в океан? Или внутрь нейронной звезды? И тебе крышка.||||
engi27|Не говоря уж о том, что большинство портальных заклинаний нестабильны, а то и опасны. Спроси любого торгового капитана, как ей возить товар — воздушным кораблём или через ((портал)), — она всякий раз выберет корабль.||||
engi28|Но мы пытаемся это изменить. Мы знаем, что древние Эмберианцы могли безопасно телепортировать товары и людей по всей своей империи. Стало быть, это ((возможно)). Нужно только довести шифр до ума... унять магию. Мы своего добьёмся.||||
p101|Ладно, кажется, я понял. ||||
engi29|Так. Хочешь спросить что-нибудь ещё?||||
p102|Ты видела что-то странное, или... ((запрещённое)) в последнее время?||||
engi30|Если кто и подозрителен, так это тот Дон Ги внизу. Он же старый приверженец Викканов, знаешь ли. ##Как он уцелел в послевоенных чистках — ума не приложу, но готова спорить, он и во сне бормочет старым богам.||||
ghlem1|<<Кожа женщины дрябло свисает с костей. Прорехи в ней обнажают мышцы, сухожилия и пятна голой кости. Она глядит на тебя мутными глазами.>>||||
ghlem2|Знаешь ли, пялиться невежливо, смертный. ##Меня зовут Глем; я Главный Историк этой Академии.||||
ghlem3|<<Глем смотрит на тебя своими мутными глазами.>> ##Снова здесь, смертный?||||
p111|Ты не похожа на... других учёных.||||
ghlem4|Твоё умение делать выводы воистину образцово, смертный. Я из Вечных, а потому — в отличие от прочих — выгляжу разлагающимся трупом.||||
ghlem5|Но я ещё и дольше всех здесь. По правде сказать, я была в Академии задолго до того, как большинство этих учёных появились на свет.||||
p112|Как ты оказалась здесь?||||
ghlem6|Я покинула свою родину более двух веков назад. Тогда мой род утолял свой ненасытный голод, ведя постоянные войны с живыми; Крестовые Походы Кадавров. Это было отвратительно, и поэтому я ушла. ||||
ghlem7|Я долго скиталась, полуголодная, пока меня не отыскала Академия Эрудитов. Полагаю, привели они меня сюда скорее как подопытный образец, но вскоре стало ясно, что я смышлёнее многих из них.||||
ghlem8|Я сделалась историком — как-никак, я старше многих здешних книг. Рано или поздно все мои начальники перемёрли, и вот я здесь, Главный Историк.||||
p113|И другие учёные принимают тебя?||||
ghlem9|Когда как. Многие в Союзе Вероотступников считают, что нас, Вечных, надо жечь на костре; но здесь, в Академии, твой род как будто терпимее. ##Хотя этот шут Джованни явно мечтает, чтобы меня вышвырнули вместе с помоями из нужника.||||
ghlem10|Когда я только пришла сюда, я прятала плоть под шелками и бинтами, таясь от стыда. Но с годами мне стало всё равно. Хотят пялиться — пусть пялятся.||||
p114|Спасибо, что удовлетворил моё любопытство. ||||
ghlem11|Полно, смертный. Завидев меня, твои сородичи обычно просто удирают. Думают, я заразна, или вроде того.||||
p115|Могу я спросить о истории? ||||
ghlem12|Разумеется, смертный. Я прочла каждую книгу в этом месте, и поверь мне — большинство из них лживы. Уж мне ли не знать: я старше самого Мирового Разлома.||||
p116|Можешь рассказать мне о Союзе Вероотступников?||||
ghlem13|Союз — довольно молодое объединение государств. Он возник сорок лет назад, когда победители [[Войны Богов]] сплотились под одним знаменем.||||
ghlem14|Но земли, составляющие Союз, ведут свою историю на четыреста лет вглубь — к тем дням, когда пережившие Мировой Разлом бежали в Небесные Земли. Тогда это были феодальные королевства, в союзе с Викканами и их богами.||||
ghlem15|[[Венна]] всегда была средоточием дипломатии; и её главный город, [[Риова]], теперь — столица Союза. ##[[Лундель]] — земля благородная, в замках и открытых ветрам равнинах.||||
ghlem16|[[Бьонн]] — обитель культуры и учёности. Лучшие университеты, лучшие театры; лучшие вина. ##И, наконец, [[Слев]] — земля самая северная, и притом холодная, суровая. Её города кишат коррупцией и бандами.||||
ghlem17|Но полвека назад правители этих земель решили сбросить иго Викканских ковенов. Поразительно, но они отважились пойти против собственных богов; и ещё поразительнее — они победили... и так родился Союз Вероотступников. ||||
p117|((Продолжай слушать))||||
p118|Ладно, кажется, я услышал достаточно.||||
ghlem18|Что ж, смертный. Так на чём мы остановились?||||
p120|Можешь рассказать мне об этих островах?||||
ghlem19|Этот архипелаг, с [[Хэллоуширом]] в центре, известен как [[Острова Грёз]].||||
ghlem20|К востоку от Хэллоушира лежит Кардова — ныне больше известная как [[Королевство Механизмов]]. К западу — [[Земли Вечных]], откуда родом мой народ.||||
ghlem21|Но эти острова не всегда существовали вместе. Острова в Небесных Землях дрейфуют с течением, и если вернуться на сто лет назад - ни Кардова, ни Земли Вечных не были частью этого архипелага.||||
p121|А что насчёт Хэллоушира?||||
ghlem22|Многие годы Хэллоушир существовал как независимая территория; в союзе с Викканским культом червя, который поклонялся богу плодородия [[Пигуту]]. ||||
ghlem23|Но недавно он был поглощён границами Союза Вероотступников; став самой южной территорией Союза.||||
ghlem24|Как ты, несомненно, заметил, между местными жителями и солдатами Союза Вероотступников немало трений. Когда горожане так долго уповали на бога, они не больно-то рады, что этого бога вдруг объявили вне закона.||||
p122|Ладно, кажется, я понял. ||||
ghlem25|Безусловно. ||||
p123|Можешь рассказать мне о Академии Эрудитов?||||
ghlem26|[[Академии Эрудитов]] уже более двух сотен лет. В отличие от прочих университетов Союза Вероотступников, она не привязана к одному государству; она существует сама по себе.||||
ghlem27|Большую часть своей истории она держалась особняком, отказываясь примыкать к богам или Викканским ковенам. И ведь многие трактаты и полемики, что заложили почву для Войны Богов, родились именно в её стенах.||||
ghlem28|А потому неудивительно, что — с самого своего основания — Союз благоволит Академии Эрудитов, осыпая её громкими заказами и тайными проектами.||||
ghlem29|Как ты можешь видеть, Академия существует на летающем острове. Она перемещается между территориями, туда, где она больше всего нужна. Мы находимся на этих Островах Грёз уже около года.||||
p124|Можешь рассказать мне о далёком прошлом? ||||
ghlem30|Ну, это довольно обширный вопрос. Я постараюсь быть краткой.||||
ghlem31|Большую часть человеческой истории цивилизация процветала далеко внизу — на поверхности мира. Феодальные королевства цвели под покровительством могущественных богов, а Викканы были посредниками между смертными и божественным.||||
ghlem32|Но успехи в магии и ремёслах привели к возвышению Эмберианской Империи. Огромные города расползлись по миру, связанные непостижимыми заклинаниями, и Викканы бежали в Небесные Земли.||||
ghlem33|Но затем, конечно, произошёл Мировой Разлом - четыреста лет назад. Мы не можем точно сказать, ((что)) это было - только то, что он разрушил поверхность мира и заставил людей бежать в эти Небесные Земли. ||||
ghlem34|Хочешь верь, хочешь нет, но я была жива во время Мирового Разлома. Я помню ослепительную вспышку, обжигающий жар — и страшный звук, точно тысяча воплей. В том хаосе наш остров столкнулся с другим. Ничего подобного я больше не знала.||||
p125|Это всё, что я хотел узнать.||||
ghlem35|С удовольствием, смертный.||||
p126|Ты слышала о чём-то... ((непристойном)), происходящем здесь?||||
ghlem36|О, у этого места хватает секретов, это уж точно. Под этим зданием есть [[комната]] — в неё можно попасть из сада снаружи, — и я видела, как кто-то наведывался туда глухой ночью.||||
ghlem37|Двери там нет, зато по всей Академии я приметила несколько [[подозрительных подсвечников]]. Смертные маги ((обожают)) прятать свои грязные секретики за зачарованными свечами!||||
herb1|<<Мужчина бормочет себе под нос, растирая что-то пестиком в ступке. Тебя он, кажется, не замечает, пока вдруг не роняет...>>##Погоди-ка чуток, малец.||||
herb2|<<Он хмуро глядит на травяное месиво. Внезапно отхаркивает комок мокроты, сплёвывает его в чашу, растирает и отставляет в сторону; вроде как доволен.>>||||
herb3|Ну что ж. Я Дон Ги, Главный Алхимик этой старой Академии. Что я могу для тебя сделать?||||
herb4|<<Глаза Дона Ги блестят из-под его густых бровей.>> Снова здесь, а?||||
herb5|<Дон Ги хмуро косится на тебя из-за решётки.>> ##Проклятые ублюдки из Инквизиции. Я и мухи не обидел, слышишь?||||
p131|Можешь научить меня алхимии?||||
herb6|Получше многих, бьюсь об заклад. ##С алхимическим снаряжением можно смешивать ингредиенты и составлять новые зелья. Не стесняйся, пользуйся снаряжением в моей лаборатории.||||
herb7|Так вот, Академия парит над этими Островами Грёз уже с год, и я успел распробовать здешние травы.||||
herb8|Свари два [[Глаза Пигута]] — выйдет мощное зелье [[Здоровья]]. Точно так же [[Парадоксикус]] восполняет [[Мана]], а [[Джиттерсид]] восстановит [[Выносливость]]. ##Но есть и другие сильные сочетания, помяни моё слово.||||
p132|Есть ли какие-то... более редкие травы?||||
herb9|<<Он расплывается в хитрой ухмылке.>> ##А, смотря кто спрашивает. Проклятая Инквизиция запретила некоторые из самых сильных алхимических трав — к досаде тех, кто разбирается.||||
herb10|<<Он наклоняется ближе.>> ##Но кто знает, где искать, тот в этих краях всё ещё сыщет [[Покров Смерти]]. Это гриб, что прорастает из проклятых останков трупа. Мрачная штука, но на редкость полезная.||||
herb11|Смешай его с [[Глазом Пигута]] — выйдет [[Эликсир Восстановления]]. Хоть одной ногой в могиле стой, а такой враз поставит на ноги.||||
p133|Можно ли сделать яд?||||
herb12|А как же. Смешай [[Глаз Пигута]] с [[Джиттерсидом]]. Второй обращает вспять целебную силу первого, и выходит смесь, что разъедает кожу. Смажь этим оружие — и враги пожалеют.||||
p134|Можно ли комбинировать ингредиенты, кроме трав? ||||
herb13|Можно. Когда алхимический опыт не даёт ничего путного, часто остаётся какой-нибудь алкогольный [[спирт]]. Смешай его с травами — и состряпаешь всевозможные напитки. Да и в хмель вгоняют будь здоров.||||
herb14|Древние алхимики писали о превращении неблагородных металлов в золото, но это искусство утрачено навсегда, стёрто из самого бытия. Такие силы сочли слишком опасными и непокорными.||||
p135|Спасибо за информацию.||||
herb15|В любое время.||||
p136|Как ты стал Главным Алхимиком? ||||
herb16|<<Он на миг умолкает; смотрит мимо тебя в раздумье.>> ##Я родом из Лунделя. Места красивые и дикие, где ветер да дождь лепят человека.||||
herb17|Мой отец был придворным алхимиком короля. Он работал с Викканами и местными богами, чтобы обеспечить процветание королевства. Это была благородная должность, и я унаследовал её на своём двадцать втором году.||||
herb18|<<Он вздыхает.>> Но мою службу оборвала Война Богов. Лундель ввергся в междоусобицу, и мой сюзерен был убит. Викканы сделались предателями, мои боги — изгоями.||||
herb19|Я бежал в эту Академию — и слава богам, что бежал. Мои... былые приверженности отправили бы меня на виселицу при этом новомодном Союзе, когда б не покровительство здешних стен. Уж верно, и поныне найдутся те, кто желает мне той же участи.||||
p137|Ты знаешь о каких-то... ((неприятных)) происшествиях в Академии? ||||
herb20|Ну, коли где и творится неладное, так это у той окаянной инженерши надо мной. Вечно слышу, как она стучит да громыхает. Скажи на милость, что может быть так важно, чтоб оправдать этакий проклятый грохот?||||
p150|Я нашёл бога, которого ты скрывал.||||
god1|<<Он хмурится.>> Я явно не спрятал его ((достаточно хорошо)). ##Его зовут Ксанарриб. Должно быть, это один из последних богов на земле Союза, я полагаю.||||
p151|Что ты с ним делал?||||
god2|О боже. Это ((увлекательнейшее)) исследование, смею заметить. ##Как ты, несомненно, знаешь, боги черпают силу из человеческой веры. Истовый приверженец для них — всё равно что источник ((пищи)).||||
god3|Так что я изучал этот процесс. У богов нет органов; только ядро, окружённое странной материей. Оказывается, это удивительно похоже на человеческий разум; полный нейронных синапсов. Последствия ошеломляющие!||||
p152|Это ((безопасно)) укрывать бога? ||||
god4|Ах, вполне безопасно, уверяю тебя. До Войны Богов Ксанарриб был богом мести для соседней деревни - но я подавил его силу шифр-заклинаниями.||||
god5|Вот только на прошлой неделе этот болван Джованни потерял мою любимую ручку. Не успел я о том узнать, как он зашиб палец на ноге и взвыл от боли. Будь Ксанарриб в полной силе, Джованни, я уверен, вывалился бы из окна навстречу верной смерти, или вроде того.||||
god6|Хотя, если подумать, может, я подавил его силу ((чересчур)) сильно...||||
p153|Я нашёл твой журнал. Он довольно... ((компрометирующий)).||||
god7|Хм. Да, так и есть. Союз Вероотступников наотрез запретил такие исследования, даже в этой Академии. ##Глупцы! Понимают ли они, чего можно было бы достичь, не ((беги)) они от того, чего боятся?||||
god8|Прошу, верни мне журнал — и забудь обо всём этом деле. Попади он в руки Инквизиции — и за мои дела поплатится вся Академия.||||
p154|Ладно, вот журнал.||||
god9|<<Он поспешно хватает книгу.>> ##Прими мою искреннюю благодарность. Я позабочусь, чтобы Ксанарриба переместили — как только закончу исследование.||||
p155|Думаю, я оставлю его себе. ||||
god10|Очень надеюсь, что ты передумаешь. Академия не должна страдать понапрасну.||||
p156|Ладно, я услышал достаточно. ||||
god11|Воистину. Но прошу, сохрани это дело в тайне. ##Итак, что-нибудь ещё?||||
god12|<<Жером хмуро косится на тебя.>> ##Проклятые ублюдки из Инквизиции. Даже ((отлить)) мне не дадут, пока рядом не встанет охранник.||||
god13|Мне поручено стеречь этого старого дурня, покуда его дело не дойдёт до суда. ##И что он вообще ((делает)) со всем этим хламом?||||
god14|Бог — прямо здесь, в учреждении Союза? О чём они только думали, ((во имя всех миров))?||||
god15|Эта академия теперь под властью Инквизиции. Мы за тобой приглядываем.||||
pwyllCarto1|<<Учёный прижал один глаз к своему увеличительному стеклу. Когда ты приближаешься, он щурится, глубоко вдыхает и внезапно замирает.>> ##Аааах...||||
p181|Э-э, ты в порядке?||||
p182|Рад познакомить-||||
pwyllCarto2|((-ЧХИИИ!))##<<Учёный чихает и разбрызгивает густой комок слизи по линзе своего увеличительного стекла. Он вытирает лицо и выглядит раздосадованным.>>||||
pwyllCarto3|Эти... <<шмыг,>> ((проклятые)) грибные споры! За что меня отправили именно в Пвилл рисовать эту [[проклятую карту]]?||||
pwyllCarto4|<<Учёный вытирает нос рукавом.>> Если б только та глазастая тварь не удрала с моим носовым платком...||||
p183|Итак, какие ориентиры тебе нужны для этого региона?||||
pwyllCarto5|<<Он шмыгает, вытирает нос рукавом, затем указывает на крепость, что высится позади тебя.>> ##Ну, первой мне полагалось нанести на карту вон ту старую крепость времён Войны Богов, что зовётся [[Ослепляющий Свет]]. Только... я слышал, что она кишит ((пиратами)) и ((контрабандистами)), так что... я собирался обождать, пока полегчает... <<Он выглядит смущённым.>>||||
pwyllCarto6|Затем есть ((другая)) крепость на юго-востоке острова, но... <<он шмыгает.>> Ты видел [[огромное существо]], что парит над ней? Нет, нет — с этим придётся повременить.||||
pwyllCarto7|И, наконец, на северо-западе есть [[Священный Гриб]], как его называют местные. Только... это самый большой гриб, какой я видел в жизни, так что он точно ((доконает)) мои пазухи...||||
p184|Можешь рассказать мне об этом острове?||||
pwyllCarto8|<<Он сглатывает и трёт покрасневшие глаза.>> О, ты про [[Пвилл]]? Ну... это самый северный остров здешних Островов Грёз. ##Местная нейронная звезда, что обходит все острова каждые двенадцать часов или около того, ярче всего, когда проходит над Пвиллом. ||||
pwyllCarto9|Десятилетия назад у местных был особенно мерзкий бог — а потому они с большой охотой взялись за оружие в Войне Богов. <<Он шмыгает.>> Эти края стали передовой; оттого тут и понатыкано столько старых крепостей.||||
pwyllCarto10|Понятно, когда война отгремела, всё вернулось к сонному покою. И хотя формально это часть Союза Вероотступников, мало кто в глубинке вообще слыхал о Пвилле — разве что особые любители [[чая из скригрибов]], что здесь варят.||||
pwyllCarto11|Если хочешь сам встретиться с местными, я бы поднялся в [[Деревню Пвилл]] над нами. Но если предпочитаешь быть в ((цивилизации)) — и я бы тебя не ((винил)) — иди дорогой на север, в [[Хэллоушир]], где Союз Вероотступников куда сильнее.||||
pwyllCarto12|И главное, как ты, наверное, заметил, Пвилл сплошь ((покрыт)) цветущими грибами! Споры липнут к одежде, лезут в волосы, в нос — этого довольно, чтобы любого свести с... ||||
pwyllCarto13|<<Он замолкает и внезапно замирает.>> ##...((Кажется, сейчас чихну...))||||
