J| if parent matches ID, it's a task, not a stage.  (6) REQ'D STAGES: break up with commas Requires the player to have one of these as their active stage. Rarity: 0-poor,1-common,2-fine,3-shroom,4-cwk,5-void. if removeRarity is left blank it does not require rarity. (13) Needs item will only check the first req'd item. (14) removeItem(s) will create a list. They will ALL use the same itemRarity, if applicable. NEW:l IF REMOVING KEY ITEM WHICH IS STACKABLE, TASK WILL NOW REMOVE WHOLE STACK. IF WE EVER NEED TO REMOVE 1 SINGLE STACKABLE KEY ITEM WE NEED TO ADD A NEW FIELD OF ITEM AMOUNT.|||||||||||||||||||||||
0: ID|1: parent|2: spriteID|3:startsTask|4:completes|5:ignoreHchy|6:req'dStages|7:trueFacts|8: falseFacts|9:keyItemNeeded|10: itemID|11: itemRarity|12: coin|13: glimmer|14:needsItem|15:removeItem(s)|16:remveRarity|17:FactionEnums|18:FactionInts|19:sortNum|20: English|21: French|22: German|23: Spanish|24: Italian
50|castle||Yes|Yes|||castleDukeDead|||ringRobust|||1|Yes|castlePoison||Wikkan|4||The Duke of Hallowshire drank a second dose of sacrificial poison, killing himself instantly. ##Thus Paeguth's contract-spell has been broken. The castle and the surrounding village will return to normal - but the plague may return as well.||||
60|castle||Yes|Yes|||castleDukeAlive|||spellPoisonFlech|||1|Yes|castlePoison||Wikkan|4||The Duke's son chose to sacrifice himself to renew Paeguth's contract-spell. ##With the spell renewed, the abhorrent strangeness afflicting the castle may subside... but both the Duke and his son are wracked with perpetual agony.||||
endless|endless|FactionEndless|||||||||||||||||12|All Good Things...||||
10|endless||Yes|||||||||||||||||The lands of the Endless are beset with earthquakes, and you've heard whispers that an entity known as the Entombed One is causing them. ##The Entombed One is said to be locked away below the Castle of Ribs, in the town of Sepulchre. Someone in the castle might know more.||||
15|endless||Yes|||||||||||||||||The lands of the Endless are beset with earthquakes, and you've heard whispers that an entity known as the Entombed One is causing them. ##You spoke to the Queen of Silver, who believes the Entombed One to be her father. She mentioned that Seneschal has the key to unlock the castle's crypt. ||||
20|endless||Yes||||||ribsCryptKey|ribsCryptKey||||||||||The lands of the Endless are beset with earthquakes, and you've heard whispers that an entity known as the Entombed One is causing them. ##The Seneschal believes the Entombed One to be the lingering spirit of the Hooded King, trapped in the Castle of Ribs' crypt. He's given you the key; the door resides far below Sepulchre. ||||
30|endless||||||NeedBlood|||||||||||||The lands of the Endless are beset with earthquakes. It's said that the Entombed One - trapped in the Castle of Ribs' crypts - is causing them. ##The crypts are guarded by a fanged door, which only permits entry to those loyal to the Hooded King. You should ask the Seneschal about this. ||||
40|endless|||||||||||||||||||The lands of the Endless are beset with earthquakes. It's said that the Entombed One - trapped in the Castle of Ribs' crypts - is causing them. ##The crypts are guarded by a fanged door. To bypass it, the Seneschal has told you to find someone who's still loyal to the Hooded King, and convince them to give you their blood.||||
50|endless|||||||NeedBlood||loyalBlood||||||||||The lands of the Endless are beset with earthquakes. It's said that the Entombed One - trapped in the Castle of Ribs' crypts - is causing them. ##The crypts are guarded by a fanged door. You've obtained a sample of blood that should allow you to pass.||||
60|endless||||||FangedDoorOpen||||||||loyalBlood|||||The lands of the Endless are beset with earthquakes. It's said that the Entombed One - trapped in the Castle of Ribs' crypts - is causing them. ##You've bypassed the door that seals the castle crypts. All that remains is to confront whatever's down there.||||
70|endless||||||CanAskQueenAboutEntombed|||||||||||||The lands of the Endless are beset with earthquakes. You've discovered that a trauma ghost of the Queen of Silver is causing them, and that this 'Entombed One' plans to destroy the whole island. ##The Queen of Silver will surely want to know about this.||||
80|endless|||||||CanAskQueenAboutEntombed|queenNecklace|queenNecklace||||||||||The Entombed One is a ghost of the Queen of Silver, and she plans to destroy the Endless.##The Queen has given you a necklace. She hopes it will remind the ghost of her duty to her kingdom, and stop her from destroying the island. ##Though perhaps you could help the Entombed One instead; and finally give the Endless an ending.||||
90|endless||||||||thawMemoryPotion|thawMemoryPotion||||||||||The Entombed One is a ghost of the Queen of Silver, and she plans to destroy the Endless.##Penitent Thaw has given you a potion of happy memories, in the hope of dissuading the Entombed One from destroying the island. ##Though perhaps you could help the Entombed One instead; and finally give the Endless an ending.||||
94|endless|||||80|||thawMemoryPotion|thawMemoryPotion||||||||||The Entombed One is a ghost of the Queen of Silver, and she plans to destroy the Endless.##The Queen has given you a necklace, to remind the Entombed One of her duty. Penitent Thaw has also given you a vial of happy memories. One of these items could help to dissuade the ghost from destruction. ##Though perhaps you could help the Entombed One instead; and finally give the Endless an ending. ||||
96|endless|||||90|||queenNecklace|queenNecklace||||||||||The Entombed One is a ghost of the Queen of Silver, and she plans to destroy the Endless.##Penitent Thaw has given you a vial of happy memories. The Queen has also given you a necklace, to remind the Entombed One of her duty. One of these items could help to dissuade the ghost from destruction.##Though perhaps you could help the Entombed One instead; and finally give the Endless an ending.||||
97|endless|||||||||||||||||||The Entombed One is a ghost of the Queen of Silver, and she plans to destroy the Endless.## You gave the Queen's necklace to the ghost, but it failed to quell her anger. If you can't charm the ghost yourself, there must be another Endless denizen who can help. ##Though perhaps you could help the Entombed One instead; and finally give the Endless an ending.||||
98|endless||||||||thawMemoryPotion|||||||||||The Entombed One is a ghost of the Queen of Silver, and she plans to destroy the Endless.## You gave the Queen's necklace to the ghost, but it failed to quell her anger. If you can't charm the ghost yourself, Penitent Thaw's vial of memories could work.##Though perhaps you could help the Entombed One instead; and finally give the Endless an ending.||||
100|endless||||||EntombedThinking|EntombedTrap|||||||thawMemoryPotion,queenNecklace||EndlessRoyal,EndlessCadaver|10,-5||You managed to dissuade the Entombed One from destroying the Kingdom of the Endless.##You should tell the Queen of Silver, and put the matter to rest. ||||
110|endless|||Yes|||EndlessHope|||ringMindSyphon|||2|||||||You managed to dissuade the Entombed One from destroying the Kingdom of the Endless.##The Queen of Silver thanked you for your efforts; it seems the story of the Endless will not be concluding just yet.||||
120|endless|||||||EntombedTrap|||||||thawMemoryPotion,queenNecklace||EndlessRoyal,EndlessCadaver|-5,10||The Entombed One is a trauma ghost of the Queen of Silver, and she plans to destroy the Kingdom of the Endless.##You managed to trick the Queen into paying her ghost a visit. You should rest and return to the castle later, to witness the aftermath.||||
130|endless|||Yes|||EndlessDestroy|||ringBloodSyphon|||2|||||||The Entombed One is a trauma ghost of the Queen of Silver, and with your help, she overthrew the Queen and progressed her plans to destroy the Kingdom of the Endless.##The seed of destruction has been planted. In time, the Endless will finally have their ending.||||
flesh|flesh|QuestEndless|||||||||||||||||40|The Ethics of Eating Flesh||||
10|flesh||Yes||||FleshSeekMaggotson|||||||||||||A huge vat of meat - grown to feed the Endless - has developed sentience. It spoke with you, pleading for its freedom. ##A caretaker was lurking nearby. Perhaps you should speak with them about this. ||||
20|flesh||||||FleshSentient|FleshSeekMaggotson||||||||||||A huge vat of meat - grown to feed the Endless - has developed sentience. It spoke with you, pleading for its freedom. ##You spoke with Maggotson about the matter, and he told you to visit Penitent Thaw above the flesh-farm.||||
30|flesh|||||||||||||||||||A huge vat of meat - grown to feed the Endless - has developed sentience. It spoke with you, pleading for its freedom. ##Penitent Thaw urged you to keep this secret. Maggoston is the only one who knows, so you should check on his whereabouts.||||
35|flesh|||||||||||||||||||Maggotson has disappeared. You notice traces of blood on the floor...##This could be Lord Rhydder's doing. You should visit his estate, on the cliffs to the south-west of Sepuchre. ||||
40|flesh||||||MaggotsonTortured|||||||||||||You found Maggotson at Lord Rhydder's estate. He's been tortured.##If Lord Rhydder knows the flesh-farm has become self aware, he could start another war. You should speak to him at his estate. ||||
50|flesh||||||FleshRhydderKnows,KnowRhydderCrusade|FleshSentient||||||||||||Lord Rhydder knows the flesh-farm is self aware. Seeing as it is no longer an ethical food source, Rhydder plans to start another war against the living. ##You should speak to Penitent Thaw about this.||||
60|flesh|||||||FleshSeekMaggotson,MaggotsonTortured|phageEggs|phageEggs||||||||||Lord Rhydder knows the flesh-farm is self aware. Seeing as it is no longer an ethical food source, Rhydder plans to start another war against the living.##Penitent Thaw has given you the means to destroy the flesh-farm. You should return to the flesh-farm itself, and make a decision: kill, or spare it?||||
70|flesh||||||FleshAlive,FleshResolved|FleshDead,FleshRhydderKnows|||||||phageEggs||EndlessCadaver|5||You spared the life of the sentient flesh-farm.##You should return to Penitent Thaw and tell her of what you've done.||||
80|flesh|||Yes||70|||||||1|||||||You spared the life of the sentient flesh-farm. Thaw seems intent to keep it alive, so long as it proves a useful test subject. ##However, seeing as it's no longer a source of ethical food, Lord Rhydder will surely lead the Endless into another war against the living to feed. ||||
90|flesh||||||FleshDead,FleshResolved|FleshAlive,FleshRhydderKnows|||||||phageEggs||EndlessRoyal|5||You destroyed the sentient flesh-farm.##You should return to Penitent Thaw and tell her of what you've done.||||
100|flesh|||Yes||90||||||30|1||||||40|You destroyed the sentient flesh-farm.##But with the ethics of eating flesh assured, Lord Rhydder will have no grounds to stoke tensions further. ||||
wyrm|wyrm|QuestEndless||||||||||||||||||A Morbid Appetite||||
10|wyrm||Yes|||||||||||||||||You encountered a catacomb wyrm that harboured a consciousness, formed from the minds of its victims. ##They asked you to recover three Urns of Anguish, which are scattered around the Kingdom of the Endless.||||
20|wyrm|||||||||||||||||||You encountered a catacomb wyrm that harboured a consciousness, formed from the minds of its victims. ##You have found an Urn of Anguish, but you will need to bring all three to the wyrm.||||
30|wyrm|||Yes||||||treasure|2||1||urnAnguish|||||You encountered a catacomb wyrm that harboured a consciousness, formed from the minds of its victims. ##You brought it three Urns of Anguish, which satiated its hunger. It will not trouble the mausoleums for a good while.||||
mapHallow|mapHallow|QuestQuill|||||||||||||||||32|Hallowshire Cartography||||
10|mapHallow||Yes||||mapHallowStarted||map|map||||||||||A scholar has asked you to locate four landmarks in Hallowshire, and mark them by equipping and using your Cartography Notebook: ##In the centre is Hallow Clocktower; to the east, the largest farmstead; to the west, a ruin entwined with a tree; to the south, the point at which the river forks. ||||
20|mapHallow|||Yes|||||map|||||||||||A scholar has asked you to locate four landmarks in Hallowshire. You have found and marked them all in your notebook; be sure to return to the scholar to receive your reward. ||||
30|mapHallow||||||ChartsHallowComplete||map||||||||Union|2||You successfully located all four Hallowshire landmarks for the scholar. Your journal has been updated with the Academy's magic map of the region.||||
mapSpecial|mapSpecial|QuestQuill|||||||||||||||||33|Special Cartography||||
10|mapSpecial||Yes||||mapSpecialStarted||map|map||||||||||----LIST OF PLACES||||
20|mapSpecial|||Yes|||ChartsSpecialComplete||map||||||||Union|2||----MAP COMPLETE. TRIGGER THIS IN CODE, NOT DIALOGUE||||
academyEntry|academyEntry|QuestHallow|||||||||||||||||34|Flying High||||
10|academyEntry||Yes|||||||||||||||||A huge island floats above Hallowshire. You have heard rumours that this is the Erudite Academy; a travelling bastion of scholarly pursuits, that will only grant access to a chosen few. ||||
20|academyEntry||Yes|||||||||||||||||A huge island floats above Hallowshire. You have heard rumours that this is the Erudite Academy; a travelling bastion of scholarly pursuits. ##Apparently, you can be granted access if an Academy scholar gives you a letter of recommendation.||||
30|academyEntry||Yes|||||||||||||||||A huge island floats above Hallowshire. You have heard rumours that this is the Erudite Academy; a travelling bastion of scholarly pursuits. ##An Academy scholar has offered to grant you access if you bring them enough cartography charts. ||||
40|academyEntry||Yes||||||academyLetter|academyLetter||||||||||A huge island floats above Hallowshire. You have heard rumours that this is the Erudite Academy; a travelling bastion of scholarly pursuits. ##You have been given a letter of recommendation that should allow access. ||||
50|academyEntry|||Yes|||AcademyAccess||||||1||||Union|2||You have gained access to the Erudite Academy; a travelling bastion of scholarly pursuits. Now, what secrets are hidden in the most acclaimed institution of the Apostatic Union?||||
academyGod|academyGod|QuestHallow|||||||||||||||||40|A Divine Captive||||
10|academyGod||Yes||||AcademyEvidenceHunt,academyGodStarted|||||||||||||In the Erudite Academy, an Inquisition agent has asked you to help her find an illegal god. ##She claims one of the scholars must be concealing it somewhere; you should ask around for more information.||||
20|academyGod||||||AcademyEvidenceScholars|||||||||||||In the Erudite Academy, an Inquisition agent has asked you to help her find an illegal god. ##Most of the scholars just seem to bicker amongst themselves, but there must be someone who has seen something untoward.||||
30|academyGod|||||||AcademyEvidenceScholars||||||||||||In the Erudite Academy, an Inquisition agent has asked you to help her find an illegal god. ##Ghlem, the Academy historian, claims to have seen someone coming and going into the basement below her building. Apparently candlesticks are the key to unlocking this secret passage. ||||
40|academyGod||Yes||||AcademyGodFound,academyGodStarted|AcademyEvidenceHunt|academyProof|academyProof||||||||||You entered a secret chamber in the Erudite Academy, which contains a captive god. ##After a little rooting around, you also found a journal belonging to Jerome Verrier, the Head Aetherist of the Academy. ##You could confront Jerome at the observatory tower, or take the evidence straight to the Inquisitor who is lurking around the Academy.||||
50|academyGod|||Yes|||AcademyGodHidden||||||1||academyProof|||||You entered a secret chamber in the Erudite Academy, which contains a captive god. ##You also found a journal belonging to Jerome Verrier, the Head Aetherist of the Academy. You returned this journal to Jerome, saving the Academy from the Inquisition's wrath. ||||
60|academyGod|||Yes|||AcademyGodRevealed|||||30|1||academyProof|||||You entered a secret chamber in the Erudite Academy, which contains a captive god. ##You also found a journal belonging to Jerome Verrier, the Head Aetherist of the Academy. You gave this evidence to the Inquisition, condemning the academy to their wrath.||||
academyPortals|academyPortals|QuestHallow|||||||||||||||||35|We Don't Need Roads||||
10|academyPortals||Yes||||academyPortalsStarted,academyPortalsQuestion||portalKey|portalKey||||||||||Natalya, the Chief Engineer of the Erudite Academy, has asked you to link three Academy Portals using the key she gave you. ##The first is in the Academy itself; while the other two are somewhere in the Clockwork Kingdom and the Endless Realm respectively. There may be other portals to find, but she wants these three specifically.||||
20|academyPortals||||||academyPortalsActivated|academyPortalsQuestion|portalKey|||||||||||Natalya, the Chief Engineer of the Erudite Academy, has asked you to link three Academy Portals using the key she gave you. ##You have activated all three portals she asked for, and you should return to her in the Academy for your reward.||||
30|academyPortals|||Yes||||academyPortalsActivated||||30|1||||Union|2||Natalya, the Chief Engineer of the Erudite Academy, asked you to link three Academy Portals. ##You did as she asked, allowing for instantaneous travel between the three main islands in the Oneiric Isles. There may be even more Academy Portals to discover, however.||||
bottledVisions|bottledVisions|QuestClockwork|||||||||||||||||40|Bottled Visions||||
10|bottledVisions||Yes|||||||||||||||||You met Bina, a refugee from the Clockwork Kingdom travelling through Hallowshire. It seems as if her husband, Youssef, could use some help.||||
20|bottledVisions||Yes||||KnowAboutYoussefBottles,YoussefBottleTaskStarted|||||||||||||Youssef, a Clockwork Kingdom refugee in Hallowshire, has asked you to recover a bottled vision intended for his sister Yasmeen. ##It?s most likely in a nearby deserter camp, stashed in an old tower. ||||
30|bottledVisions|||||||||||||||||||Youssef, a Clockwork Kingdom refugee in Hallowshire, has asked you to recover a bottled vision intended for his sister Yasmeen. ##You recovered the bottle, and now Youssef has asked you to take it to Mikhail the smuggler ? on the eastern edge of Hallowshire.||||
40|bottledVisions|||Yes|||cwk_YasmeenGotBottle|KnowAboutYoussefBottles|||||1|Yes|bottledVisions|||||You successfully delivered Youssef?s bottled vision to Mikhail the smuggler, who promised to make sure it reached Youssef?s sister Yasmeen inside the Clockwork Kingdom.||||
50|bottledVisions|||Yes||||KnowAboutYoussefBottles|||||1|Yes|bottledVisions|||||You successfully delivered Youssef's bottled vision to Mikhail the smuggler, but did not ask him to pass it on to Youssef's sister Yasmeen ? instead pocketing the profit for yourself. ||||
playerManor|playerManor|QuestHallow|||||||||||||||||36|Thornwood Manor||||
10|playerManor||Yes||||KnowManorForSale|||||||||||||You have heard that Thornwood Manor, a two hundred year old estate, is up for sale. ##Visit the Apostatic Union council building in Hallow Town for more information. ||||
20|playerManor||Yes|||||||||||||||||You have heard that Thornwood Manor, a two hundred year old estate, is up for sale. ##The Apostatic Union council clerk in Hallow Town will sell it for 200 coin, though it will cost considerably more to refurbish the manor to its former glory. ||||
30|playerManor||Yes||||BoughtManor||deedManor|deedManor||||||||||You have purchased Thornwood Manor (and its accompanying island), which floats just off the southern edge of Hallowshire, accessible by a lift. ##The manor needs considerable renovations; use a Property Station at Hallow Town council, or on the estate itself, to upgrade it. ||||
40|playerManor||||||ManorDreamsHad||deedManor|||||||||||You have purchased Thornwood Manor, but when resting in the master bedroom you often have strange dreams and wake to find blood on your pillow. ||||
50|playerManor||||||||deedManor|||||||||||You have purchased Thornwood Manor and spoken to the caretaker who tends the grounds. He has warned you that the Manor's previous owner - one of the Thornwood family - may still be alive, and he has compelled you to stay out of the basement... ||||
60|playerManor|||||50|ManorDreamsHad||deedManor|||||||||||You have purchased Thornwood Manor, but when resting in the master bedroom you often have strange dreams and wake to find blood on your pillow. ##Meanwhile, the caretaker has compelled you to stay out of the basement... ||||
70|playerManor||||||||deedManor|||||||||||In the basement of Thornwood Manor you have found a peculiar and haunting statue. It seems to be missing several items; perhaps completing the statue will have some effect.||||
80|playerManor||||||||deedManor|||||||||||In the basement of Thornwood Manor you have found a peculiar and haunting statue. Replacing its missing items has revealed a secret passage underground. You should explore further...||||
90|playerManor||||||DiscoveredManorVierme||manorSpellbookKey|manorSpellbookKey||||||||||In the basement of Thornwood Manor there is a vierme, who feeds upon dreams. ##She is bound to the estate grounds by some spell, and in order to break it, you must recover a spellbook from a ruined house in Hallowshire's western forest. ##Of course, you could also try and rid the manor of her presence through more... violent means. ||||
100|playerManor||||||GotManorSpellbook|||||||||||||In the basement of Thornwood Manor there is a vierme, who feeds upon dreams. ##She is bound to the estate grounds by some spell, but you have recovered a spellbook that may release her.||||
110|playerManor|||Yes|||FreedManorVierme|ManorClueFound|||||2|||||||You have freed the vierme who dwells in the basement of Thornwood Manor. She will live there still, but promises to grant you invigorating dreams when she feeds on you in the night. ||||
120|playerManor||||||AggroManorVierme|||||||||||||In the basement of Thornwood Manor there is a vierme, who feeds upon dreams. ##You have attacked her, and she is now hostile to you. Perhaps you should finish the job and grant her eternal rest at last. ||||
130|playerManor|||Yes|||KilledManorVierme|ManorClueFound|||||2|||||||You have killed the vierme who dwelled in the basement of Thornwood Manor. You may now rest soundly in your bed, no longer fearful of bumps in the night. ||||
endlessMines|endlessMines|QuestEndless|||||||||||||||||40|Below the Endless||||
10|endlessMines||Yes|||||||||||||||||A noble has asked you to investigate his mines, in the South-West of the Endless Region.||||
20|endlessMines||Yes|||||||||||||||||You encountered a man who is tortured by crystals which grow from his flesh in the South-West of the Endless Region. ##It all seems to relate to the nearby mines...||||
30|endlessMines||Yes|||||||||||||||||You have discovered a religious group in the mines in the South-West of the Endless Region.##The followers make reference to a crystal goddess deeper in the mine...||||
40|endlessMines||Yes|||||||||||||||||You have found the statue of the crystal goddess deep in Endless Mines.##Will you pledge your faith? Or will you find a way to destroy it?||||
45|endlessMines||Yes||||||terminusPrism|terminusPrism||||||||||You have been given a device capable of killing the fledgling Crystal Goddess, who resides deep in Endless Mines.##But will you use it? Or are you called to join with Her instead?||||
50|endlessMines|||Yes|||endM_JoinedCrystal||crystalBoost|crystalBoost|||1|||||||You have sworn yourself to the crystal goddess. By your actions, she will bloom.||||
60|endlessMines||||||endM_DestroyedCrystal|||||||||||||You have destroyed the crystal goddess, and scattered her followers.##The mines' original owner will likely reward you for returning control to him.||||
65|endlessMines|||Yes|||endM_gotReward||bedBoost|bedBoost|||1|||||||You have destroyed the crystal goddess, and scattered her followers.##The mines' owner plans to return her to operation soon.||||
cwkSkiff|cwkSkiff|FactionClockwork|||||||||||||||||13|Safe Passage||||
1|cwkSkiff||Yes|||||||||||||||||The Clockwork Kingdom has closed its borders, and visitors are strictly forbidden. Your Apostatic Union passport is no good here, scum. ##But perhaps there's someone who can sneak you inside? Try searching Hallowshire's north-eastern coastline for another route.||||
5|cwkSkiff||Yes|||||||||||||||||The Clockwork Kingdom has closed its borders, and visitors are strictly forbidden. ##But you've heard of a sky sailor nearby who has been ferrying goods. Perhaps he could also ferry people?||||
10|cwkSkiff||Yes|||||||||||||||||The Clockwork Kingdom has closed its borders, and visitors are strictly forbidden. ##But Mikhail the sky sailor has agreed to smuggle you inside, for the price of one Apostatic Union Passport.||||
20|cwkSkiff|||||||||||||||||||The Clockwork Kingdom has closed its borders, and visitors are strictly forbidden. ##You persuaded Mikhail the sky sailor to smuggle you inside. Speak to him again when you're ready to fly.||||
25|cwkSkiff|||||||||||||||||||You secured regular passage in and out of the Clockwork Kingdom with Mikhail the sky smuggler. ##But you'll need to find your own way to Ferropolis, the capital city.||||
30|cwkSkiff|||||||||||||||||||You secured regular passage in and out of the Clockwork Kingdom with Mikhail the sky smuggler. ##If you want to use the gatebridge in future, find the Royal Factor at the checkpoint outside Ferropolis and tell her Mikhail sent you.||||
33|cwkSkiff|||||||||||||||||||Mikhail's crooked contact inside the Clockwork Kingdom is willing to grant you a travel permit, but only if you do her a favour first. ##Find the lost royal freight capsule somewhere in the countryside northwest of Ferropolis, and bring whatever's inside back to the Royal Factor at the city checkpoint.||||
37|cwkSkiff|||||||||||||||||||Mikhail's crooked contact inside the Clockwork Kingdom is willing to grant you a travel permit, but only if you do her a favour first. ##You found the lost freight capsule and discovered a preserved head inside. Bring it to the Royal Factor at the checkpoint outside Ferropolis to earn her trust.||||
40|cwkSkiff|||||||||||||||||||You secured an official travel permit for Clockwork Kingdom, thanks to Mikhail the sky smuggler and his crooked contact. ##Use it to pass through the gatebridges along the western edge of the Kingdom.||||
50|cwkSkiff|||Yes||||||treasure|1||1|||||||You have been granted the rare privilege of travelling freely between the Apostatic Union and the Clockwork Kingdom, thanks to Mikhail the sky smuggler and his crooked contact. ##Isn't it amazing what you can achieve with a little quid pro quo?||||
cwkFrost|cwkFrost|FactionDarkStar|||||||||||||||||9|Sky Pirate Caxton Frost||||
10|cwkFrost||Yes||||cwk_LookingForFrost|||||||||||||You've heard about a former Dark Star mercenary named Caxton Frost, who hailed from the Clockwork Kingdom. Unfortunately, he seems to be dead. ##Perhaps if you keep asking around, you'll discover something more useful.||||
20|cwkFrost||Yes||||cwk_LookingForFrost|||||||||||||Jack Basalt has told you of Caxton Frost - a skilled 'techno-archaeologist' who was once a Dark Star mercenary. ##Basalt believes he may have returned to his homeland in the Clockwork Kingdom. Look for a man who has trouble walking, with a moth tattoo on his left buttock.||||
30|cwkFrost||Yes||||cwk_LookingForFrost|||||||||||||You're on the trail of Caxton Frost, a former comrade of Vela Callose who hailed from the Clockwork Kingdom. ##Supposedly Frost is dead, but the vision trader in Ferropolis told you of a man called Horace Metcalfe out in the countryside who might know something.||||
35|cwkFrost||||||cwk_LookingForFrost|||||||||||||You're on the trail of Caxton Frost, a former comrade of Vela Callose who hailed from the Clockwork Kingdom. ##You met a man named Horace Metcalfe in the mountains northeast of Ferropolis, who might know something.||||
40|cwkFrost||Yes||||cwk_LookingForFrost|||||||||||||You're on the trail of Caxton Frost, a former comrade of Vela Callose who hailed from the Clockwork Kingdom. ##You met a man named Horace Metcalfe in the mountains northeast of Ferropolis, who was suspiciously knowledgeable about Vela and the Dark Stars. ##Persuade Metcalfe to tell you what he really knows.||||
50|cwkFrost||||||cwk_LookingForFrost|||||||||||||You believe you've found one of Vela Callose's former comrades living undercover in the Clockwork Kingdom, going by the name 'Horace Metcalfe'. Just one problem: he doesn't remember who he is. ##To persuade him, you'll need to gather more evidence. Search Metcalfe's house for his private stash of bottled visions.||||
60|cwkFrost||||||cwk_LookingForFrost|||||||||||||You believe you've found one of Vela Callose's former comrades living undercover in the Clockwork Kingdom, going by the name 'Horace Metcalfe'. Just one problem: he doesn't remember who he is. ##You 'borrowed' a bottled vision from Metcalfe's private stash. Now find a safe place to imbibe it.||||
70|cwkFrost||||||cwk_LookingForFrost|||||||||||||Horace Metcalfe has lost all memory of being a Dark Star mercenary, and it's up to you to cure his amnesia. ##Metcalfe's bottled visions point to a ruined city in the Clockwork Kingdom, which seems to hold some key to his past. ##Find a way into the Corrupted Lands, southeast of Ferropolis, to begin your search.||||
75|cwkFrost||||||cwk_LookingForFrost|||||||||||||Horace Metcalfe has lost all memory of being a Dark Star mercenary, and it's up to you to cure his amnesia. ##Metcalfe's bottled visions point to a ruined city in the Clockwork Kingdom, which seems to hold some key to his past. ##Search the Corrupted Lands for any sign of this lost city.||||
80|cwkFrost||||||cwk_LookingForFrost|||||||||||||Horace Metcalfe has lost all memory of being a Dark Star mercenary, and it's up to you to cure his amnesia. ##Metcalfe's bottled visions point to the ruined city of Progress, which was quarantined after falling prey to the Corruption. ##Cross the broken island chain in the far south-east of the Clockwork Kingdom to reach the city.||||
90|cwkFrost||||||cwk_LookingForFrost|||||||||||||Horace Metcalfe has lost all memory of being a Dark Star mercenary, and it's up to you to cure his amnesia. ##Metcalfe's bottled visions point to the ruined city of Progress, which was quarantined after falling prey to the Corruption. ##Search the city for clues to his past.||||
100|cwkFrost||||||cwk_LookingForFrost|||||||||||||Horace Metcalfe has lost all memory of being a Dark Star mercenary, and it's up to you to cure his amnesia. ##Metcalfe's bottled visions led you to an old music box cylinder, hidden in a chest in the ruined city of Progress. ##Return to Metcalfe's house in the mountains northeast of Ferropolis and see what he makes of it.||||
105|cwkFrost||||||cwk_LookingForFrost|||||||||||||Horace Metcalfe has lost all memory of being a Dark Star mercenary, and it's up to you to cure his amnesia. ##In the ruined city of Progress, you found a missing cylinder belonging to the music box in Metcalfe's house. See if playing it brings back any memories.||||
109|cwkFrost||Yes||||cwk_LookingForFrost|||||||||||||Horace Metcalfe has lost all memory of being a Dark Star mercenary, and it's up to you to cure his amnesia. ##The music that you found in the ruined city of Progress seems to have had a strange effect on him. You should check to see if he's okay.||||
110|cwkFrost||||||NeedToReportFrost|cwk_LookingForFrost||||||||||||You recruited Caxton Frost to your cause, and he has joined you in Vela's old fortress, the Blinding Light.||||
120|cwkFrost|||Yes|||NeedToReportFrost|cwk_LookingForFrost|charmBoost|charmBoost|||2|||||||You recruited Caxton Frost to your cause, and he has joined you in Vela's old fortress, the Blinding Light. ##You convinced him to use the treasure Vela seeks for his own ends, and create the 'better world' he's always dreamed of.||||
130|cwkFrost|||Yes|||NeedToReportFrost|cwk_LookingForFrost|charmBoost|charmBoost|||2|||||||You recruited Caxton Frost to your cause, and he has joined you in Vela's old fortress, the Blinding Light. ##You convinced him to abandon his utopian dreams, and stop Vela before her quest for paradise unleashes a catastrophe.||||
140|cwkFrost|||Yes|||NeedToReportFrost|cwk_LookingForFrost|charmBoost|charmBoost|||2|||||||You recruited Caxton Frost to your cause and restored his memories. Find him at Vela's old fortress, the Blinding Light. ##You convinced him to strive for a better world one step at a time - and to start by preventing Vela from unleashing a catastrophe.||||
cwkMadness|cwkMadness|FactionClockwork|||||||||||||||||14|Madness of the King||||
10|cwkMadness||Yes|||||||||||||||||Upon reaching Ferropolis, the capital city, you were detained by the all-powerful Machinists' Guild and ordered to meet the King in its sanctum atop the Machinarium. Who are you to question a royal decree?||||
20|cwkMadness||Yes||||cwk_MachinariumOpen|||||||||||||The King has ordered you to perform something called the 'Sacramental Duty', but its instructions made no sense. ##Perhaps someone in Ferropolis can tell you more?||||
30|cwkMadness||||||||aphraNote|||||||||||The King has ordered you to perform something called the 'Sacramental Duty', but its instructions made no sense. ##Afterwards, someone slipped you an enigmatic note asking you to meet them [[at night]] in the park in [[Upper Ferropolis]], under the [[gazebo]].||||
40|cwkMadness|||||||||||||||||||The Clockwork King has gone mad, trapping its people in perpetual winter. You met a reformist engineer named Aphra who believes she knows why. ##To demonstrate her claims, she asked you to walk through a mirror hidden inside a house in the lower district of Ferropolis.||||
45|cwkMadness|||||||||||||||||||The Clockwork King has gone mad, trapping its people in perpetual winter. You met a reformist engineer named Aphra who believes she knows why. ##You followed Aphra's directions to a hidden portal and found yourself in a frozen mirrorworld. How are you going to get out of here?||||
50|cwkMadness|||||||||||||||||||The Clockwork King has gone mad, erasing its own citizens from reality at an ever-increasing rate. A reformist engineer named Aphra believes she can fix it, but she needs your help. ##If you're willing, meet her back at the [[park gazebo]] in Upper Ferropolis after [[nightfall]].||||
